duration,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,cls,no_idle,no_fiat,no_biat
9368711.0,16.0,4.0,1564818.0,1549373.0,190205.285714286,203290.456521739,389822.391916579,370323.71975366,4.0,1523088.0,97590.7395833333,267600.198443351,1871488.0,1983656.33333333,2195089.0,183219.697914371,1234883.0,1420565.0,1523088.0,161096.539275367,2,False,False,False
7340238.0,18.0,4.0,1567554.0,1527893.0,165686.977272727,186914.846153846,317267.548742198,304370.651301392,4.0,1517774.0,87383.7857142857,221462.862027935,1491627.0,3572433.0,5653239.0,2942704.06586714,1131498.0,1324636.0,1517774.0,273138.379007784,2,False,False,False
4644225.0,29.0,15.0,1270547.0,1079974.0,165865.178571429,195302.130434783,329473.126260763,300492.588226672,15.0,1079974.0,89312.0192307692,217475.425246434,1758922.0,1758922.0,1758922.0,0.0,1079974.0,1079974.0,1079974.0,0.0,2,False,False,False
4978735.0,19.0,8.0,2492050.0,2457286.0,239543.25,276596.388888889,612435.304238344,628339.573543744,8.0,2441990.0,127659.871794872,436959.716435875,1710925.0,2382905.0,3054885.0,950323.229642946,1346073.0,1894031.5,2441990.0,774930.342316972,2,False,False,False
11838189.0,19.0,10.0,3094089.0,3093543.0,243766.5,295954.725,599721.781708801,625632.703972198,10.0,3042717.0,133013.359550562,436129.639296405,1747431.0,2400446.0,3240696.0,623274.390468329,1394455.0,1983227.0,3042717.0,725987.829074978,2,False,False,False
11771793.0,30.0,6.0,3149632.0,2964504.0,244008.020833333,255167.347826087,632857.385277182,607541.355369903,6.0,2964504.0,123913.610526316,435676.952939631,1443143.0,2872733.0,3563174.0,965103.52482087,1065834.0,1933295.0,2964504.0,1008644.52279962,2,False,False,False
13978645.0,17.0,7.0,2249885.0,2064514.0,215483.375,254157.181818182,484527.921324867,462592.986971292,7.0,2064514.0,116488.708333333,334260.19200433,1363299.0,2254176.2,3870047.0,1010713.69802207,1147658.0,1533121.8,2064514.0,421832.929402684,2,False,False,False
13942087.0,22.0,6.0,2426308.0,2425956.0,231527.716666667,248101.035714286,516661.130190786,507941.688524774,6.0,2375478.0,119163.136752137,363365.684614578,2076878.0,2741696.8,4001564.0,772121.497542291,1252392.0,1719479.4,2375478.0,430172.04695976,2,False,False,False
7863522.0,30.0,8.0,2067690.0,2068091.0,244213.125,252051.483870968,571806.194574827,562812.286698527,8.0,2017289.0,122867.53125,400581.17073558,2092947.0,2535198.66666667,3282729.0,650992.780391483,1707343.0,1897912.0,2017289.0,166786.859124153,2,False,False,False
8259704.0,18.0,9.0,2321059.0,2278426.0,269051.3,330388.16,639533.232125757,637243.988848213,9.0,2270116.0,147494.714285714,449957.584261701,2368851.0,2687726.0,3162320.0,419028.124008998,1702783.0,1980072.0,2270116.0,283881.490662037,2,False,False,False
9501115.0,28.0,16.0,4238250.0,4049808.0,296908.78125,364985.5,807291.578739526,825945.83339029,16.0,4049808.0,161035.847457627,571035.072721225,4457215.0,4565761.0,4674307.0,153507.225338093,1632072.0,2840940.0,4049808.0,1709597.52071855,2,False,False,False
5545334.0,30.0,6.0,2349340.0,2315198.0,267851.55,291859.684210526,662553.265034512,667200.262668693,6.0,2297754.0,138633.35,468135.293018252,2347008.0,2656002.0,2964996.0,436983.505490768,1978303.0,2138028.5,2297754.0,225885.96835461,2,False,False,False
3483711.0,19.0,12.0,1039941.0,851636.0,143033.25,155777.136363636,236563.52363753,207113.54334043,12.0,851636.0,74121.5106382979,145636.797287304,3483711.0,3483711.0,3483711.0,0.0,0.0,0.0,0.0,0.0,2,True,False,False
12128582.0,21.0,8.0,8107194.0,7918721.0,461149.076923077,527329.652173913,1616625.83405983,1669652.39612461,8.0,7918721.0,242571.64,1148808.90116345,2762034.0,5957443.5,9152853.0,4518991.45223572,2066591.0,4992656.0,7918721.0,4138080.80738511,2,False,False,False
216249.0,27.0,10.0,78594.0,187939.0,15779.8,54062.25,35114.243227642,90233.9160954276,10.0,137318.0,21624.9,44117.9569813824,216249.0,216249.0,216249.0,0.0,0.0,0.0,0.0,0.0,2,True,False,False
14701087.0,20.0,5.0,5881392.0,5932194.0,284572.901960784,341885.744186047,889248.028147013,946533.66775493,5.0,5881355.0,154748.284210526,649646.590332843,2757283.0,4248801.33333333,6270335.0,1815508.40781634,1297996.0,3043251.33333333,5881355.0,2479421.91659101,2,False,False,False
10300439.0,18.0,5.0,3029278.0,2997586.0,206406.551020408,223922.586956522,529234.255643455,528180.127729255,5.0,2979791.0,107296.239583333,374934.602756751,1566070.0,2510109.5,3810504.0,1123164.83466023,1197148.0,1725752.75,2979791.0,839675.395401451,2,False,False,False
13779710.0,72.0,138.0,13099598.0,13090662.0,1525469.66666667,1721668.875,4340984.86227508,4594460.31300888,23.0,13047812.0,765539.444444445,3065746.57824807,13243650.0,13243650.0,13243650.0,0.0,13047812.0,13047812.0,13047812.0,0.0,2,False,False,False
620945.0,18.0,6.0,156252.0,183469.0,31283.1428571429,51745.4166666667,49119.2975337473,65032.495404512,6.0,138002.0,22997.962962963,38169.6703598969,620945.0,620945.0,620945.0,0.0,0.0,0.0,0.0,0.0,2,True,False,False
10758874.0,10531933.0,10758874.0,10531933.0,10758874.0,10531933.0,10758874.0,0.0,0.0,50031.0,10531933.0,3586291.33333333,6015436.65841989,10581964.0,10581964.0,10581964.0,0.0,10531933.0,10531933.0,10531933.0,0.0,2,False,False,False
12888333.0,89979.0,44534.0,12624278.0,12492923.0,4296111.0,4221436.0,7212526.75983032,7163436.11093856,79.0,12492923.0,1841190.42857143,4697280.95550413,12838305.0,12838305.0,12838305.0,0.0,12492923.0,12492923.0,12492923.0,0.0,2,False,False,False
11878561.0,159773.0,160546.0,3687861.0,3521252.0,2331220.4,2375712.2,1381976.80230008,1364931.95918183,49999.0,3465678.0,1079869.18181818,1421278.29795662,2044629.0,2926534.5,3637089.0,772802.619355896,1994205.0,2805930.5,3465678.0,696022.613944882,2,False,False,False
11390324.0,68498.0,41928.0,8511243.0,8582369.0,1884583.16666667,1869855.33333333,3306002.60191319,3337638.95353953,79.0,8408489.0,876178.769230769,2300815.42865287,2463882.0,5521811.5,8579741.0,4324565.37168066,1529086.0,4968787.5,8408489.0,4864472.51181498,2,False,False,False
12021295.0,129042.0,130025.0,9803389.0,10025737.0,2359679.0,2404259.0,4177254.12318275,4276257.50663092,50015.0,9803389.0,1092845.0,2902928.67921172,1212858.0,5533131.0,9853404.0,6109788.66975422,1032008.0,5417698.5,9803389.0,6202302.98547076,2,False,False,False
8194952.0,89905.0,36324.0,5404093.0,5625758.0,1328680.5,1365825.33333333,2066113.22899973,2158809.80647348,88.0,5404093.0,630380.923076923,1478768.45575476,1488138.0,3541538.0,5594938.0,2903946.12897674,1316693.0,3360393.0,5404093.0,2890228.25742172,2,False,False,False
5873562.0,80136.0,34443.0,5621745.0,5480150.0,1957854.0,1883653.66666667,3173352.81156484,3115074.0895147,69.0,5480150.0,839080.285714286,2047241.62726991,5822573.0,5822573.0,5822573.0,0.0,5480150.0,5480150.0,5480150.0,0.0,2,False,False,False
9096970.0,130378.0,131955.0,8743412.0,8965015.0,4436895.0,4548485.0,6090334.74799021,6245916.62462757,49968.0,8743412.0,1819394.0,3870961.08204852,8925335.0,8925335.0,8925335.0,0.0,8743412.0,8743412.0,8743412.0,0.0,2,False,False,False
8757913.0,208874.0,37291.0,8058185.0,8230579.0,2919304.33333333,2845583.0,4452633.94630412,4664980.67417728,48.0,8058185.0,1251130.42857143,3003118.68519907,8267059.0,8267059.0,8267059.0,0.0,8058185.0,8058185.0,8058185.0,0.0,2,False,False,False
13147941.0,90858.0,43339.0,10144287.0,10366032.0,2603247.6,2629588.2,4335250.61387344,4444633.64078823,81.0,10144287.0,1195267.36363636,3051244.7657109,2610685.0,6402467.5,10194250.0,5362390.23706887,2419489.0,6281888.0,10144287.0,5462257.04909619,2,False,False,False
11718031.0,90559.0,37796.0,8949375.0,9170828.0,1932783.0,1953005.16666667,3484260.87037182,3574968.59056098,107.0,8949375.0,901387.0,2448176.82483508,1545777.0,5338356.0,9130935.0,5363516.6581713,1374836.0,5162105.5,8949375.0,5356007.89126188,2,False,False,False
